"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població_16_64_anys","Pes_atur"
2018,5,7,"Horta-Guinardó",33,"el Baix Guinardó",16411,5.9
2018,5,7,"Horta-Guinardó",34,"Can Baró",5858,6.2
2018,5,7,"Horta-Guinardó",35,"el Guinardó",23768,6.5
2018,5,7,"Horta-Guinardó",36,"la Font d'en Fargues",5801,8.2
2018,5,7,"Horta-Guinardó",37,"el Carmel",20223,8
2018,5,7,"Horta-Guinardó",38,"la Teixonera",7614,6.6
2018,5,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4338,7
2018,5,7,"Horta-Guinardó",40,"Montbau",3018,7.3
2018,5,7,"Horta-Guinardó",41,"la Vall d'Hebron",3499,6.7
2018,5,7,"Horta-Guinardó",42,"la Clota",464,3.5
2018,5,7,"Horta-Guinardó",43,"Horta",16500,8.3
2018,5,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",15978,7.9
2018,5,8,"Nou Barris",45,"Porta",15816,7.7
2018,5,8,"Nou Barris",46,"el Turó de la Peira",9892,8.1
2018,5,8,"Nou Barris",47,"Can Peguera",1408,7.9
2018,5,8,"Nou Barris",48,"la Guineueta",8874,10.4
2018,5,8,"Nou Barris",49,"Canyelles",4192,10.7
2018,5,8,"Nou Barris",50,"les Roquetes",10354,9.4
2018,5,8,"Nou Barris",51,"Verdun",7921,9.4
2018,5,8,"Nou Barris",52,"la Prosperitat",16301,8.4
2018,5,8,"Nou Barris",53,"la Trinitat Nova",4871,13.3
2018,5,8,"Nou Barris",54,"Torre Baró",1965,9.1
2018,5,8,"Nou Barris",55,"Ciutat Meridiana",6921,13.5
2018,5,8,"Nou Barris",56,"Vallbona",877,12.4
2018,5,9,"Sant Andreu",57,"la Trinitat Vella",6687,13
2018,5,9,"Sant Andreu",58,"Baró de Viver",1675,6.9
2018,5,9,"Sant Andreu",59,"el Bon Pastor",8151,8.1
2018,5,9,"Sant Andreu",60,"Sant Andreu",36671,7.3
2018,5,9,"Sant Andreu",61,"la Sagrera",18483,6.7
2018,5,9,"Sant Andreu",62,"el Congrés i els Indians",9078,6.6
2018,5,9,"Sant Andreu",63,"Navas",14065,6.6
2018,5,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25043,7.1
2018,5,10,"Sant Martí",65,"el Clot",18027,6.7
2018,5,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10425,5.6
2018,5,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6470,5.9
2018,5,10,"Sant Martí",68,"el Poblenou",22694,5.8
